SDD21_Lower	SDD11_Upper	ILD_Upper	ILD_Lower	NEXT_Upper	FEXT_Upper	SDD21_offset
NaN	NaN	NaN	NaN	NaN	NaN	.029739
NaN	NaN	NaN	NaN	NaN	NaN	.03929
NaN	NaN	NaN	NaN	NaN	NaN	.045344
NaN	NaN	NaN	NaN	NaN	NaN	.051005
-4.84	-11.5527864045	.708	-.708	-1	-1	.057188
-4.84	-11.5101020514434	.71	-.71	-1	-1	.05949
-4.84	-11.4708497377871	.712	-.712	-1	-1	.065105
-4.84	-11.4343145750508	.714	-.714	-1	-1	.073165
-4.84	-11.4	.716	-.716	-1	-1	.078481
-4.84	-11.3675444679663	.718	-.718	-1	-1	.084058
-4.84	-11.3366750419289	.72	-.72	-1	-1	.087889
-4.84	-11.3071796769724	.722	-.722	-1	-1	.092084
-4.84	-11.2788897449072	.724	-.724	-1	-1	.096162
-4.84	-11.2516685226452	.726	-.726	-1	-1	.099621
-4.84	-11.2254033307585	.728	-.728	-1	-1	.104003
-4.84	-11.2	.73	-.73	-1	-1	.106361
-4.84	-11.1753788748765	.732	-.732	-1	-1	.109963
-4.84	-11.1514718625761	.734	-.734	-1	-1	.114431
-4.84	-11.1282202112919	.736	-.736	-1	-1	.116969
-4.84	-11.1055728090001	.738	-.738	-1	-1	.121335
-4.84	-11.0834848610088	.74	-.74	-1	-1	.125414
-4.84	-11.0619168480353	.742	-.742	-1	-1	.129546
-4.84	-11.0408336953375	.744	-.744	-1	-1	.132289
-4.84	-11.0202041028867	.746	-.746	-1	-1	.134973
-4.84	-11	.748	-.748	-1	-1	.140069
-4.84	-10.9801960972814	.75	-.75	-1	-1	.147409
-4.84	-10.9607695154587	.752	-.752	-1	-1	.148098
-4.84	-10.9416994755742	.754	-.754	-1	-1	.152244
-4.84	-10.9229670385731	.756	-.756	-1	-1	.155046
-4.84	-10.9045548849897	.758	-.758	-1	-1	.158206
-4.84	-10.886447127434	.76	-.76	-1	-1	.161041
-4.84	-10.8686291501015	.762	-.762	-1	-1	.163564
-4.84	-10.8510874706924	.764	-.764	-1	-1	.167252
-4.84	-10.8338096210309	.766	-.766	-1	-1	.170937
-4.84	-10.8167840433801	.768	-.768	-1	-1	.175324
-4.84	-10.8	.77	-.77	-1	-1	.177594
-4.84	-10.7834474939404	.772	-.772	-1	-1	.179899
-4.84	-10.7671171994062	.774	-.774	-1	-1	.182604
-4.84	-10.7510004003203	.776	-.776	-1	-1	.185527
-4.84	-10.7350889359326	.778	-.778	-1	-1	.189275
-4.84	-10.7193751525134	.78	-.78	-1	-1	.191735
-4.84	-10.7038518603184	.782	-.782	-1	-1	.193216
-4.84	-10.6885122951396	.784	-.784	-1	-1	.195386
-4.84	-10.6733500838578	.786	-.786	-1	-1	.198459
-4.84	-10.6583592135001	.788	-.788	-1	-1	.20137
-4.84	-10.6435340033749	.79	-.79	-1	-1	.205063
-4.84	-10.6288690799198	.792	-.792	-1	-1	.206808
-4.84	-10.6143593539449	.794	-.794	-1	-1	.210809
-4.84	-10.6	.796	-.796	-1	-1	.213659
-4.84	-10.5857864376269	.798	-.798	-1	-1	.216463
-4.84	-10.5717143142914	.8	-.8	-1	-1	.222742
-4.84	-10.5577794898144	.802	-.802	-1	-1	.225817
-4.84	-10.5439780221439	.804	-.804	-1	-1	.227993
-4.84	-10.5303061543301	.806	-.806	-1	-1	.229903
-4.84	-10.5167603025809	.808	-.808	-1	-1	.231558
-4.84	-10.5033370452904	.81	-.81	-1	-1	.234991
-4.84	-10.4900331129459	.812	-.812	-1	-1	.236398
-4.84	-10.4768453788272	.814	-.814	-1	-1	.239905
-4.84	-10.4637708504263	.816	-.816	-1	-1	.243536
-4.84	-10.450806661517	.818	-.818	-1	-1	.24579
-4.84	-10.4379500648187	.82	-.82	-1	-1	.248749
-4.84	-10.4251984251976	.822	-.822	-1	-1	.250401
-4.84	-10.4125492133612	.824	-.824	-1	-1	.251811
-4.84	-10.4	.826	-.826	-1	-1	.254686
-4.84	-10.3875484503403	.828	-.828	-1	-1	.259091
-4.84	-10.3751923190728	.83	-.83	-1	-1	.261443
-4.84	-10.3629294456255	.832	-.832	-1	-1	.263138
-4.84	-10.3507577497529	.834	-.834	-1	-1	.26515
-4.84	-10.3386752274164	.836	-.836	-1	-1	.267226
-4.84	-10.3266799469318	.838	-.838	-1	-1	.269316
-4.84	-10.3147700453647	.84	-.84	-1	-1	.271787
-4.84	-10.3029437251523	.842	-.842	-1	-1	.275507
-4.84	-10.2911992509365	.844	-.844	-1	-1	.276885
-4.84	-10.2795349465915	.846	-.846	-1	-1	.278501
-4.84	-10.2679491924311	.848	-.848	-1	-1	.279864
-4.84	-10.2564404225837	.85	-.85	-1	-1	.282567
-4.84	-10.2450071225216	.852	-.852	-1	-1	.284331
-4.84	-10.2336478267344	.854	-.854	-1	-1	.286868
-4.84	-10.2223611165369	.856	-.856	-1	-1	.289626
-4.84	-10.2111456180002	.858	-.858	-1	-1	.291916
-4.84	-10.2	.86	-.86	-1	-1	.294127
-4.84	-10.1889229723725	.862	-.862	-1	-1	.296475
-4.84	-10.1779132841711	.864	-.864	-1	-1	.298285
-4.84	-10.1669697220177	.866	-.866	-1	-1	.300659
-4.84	-10.1560911085414	.868	-.868	-1	-1	.304138
-4.84	-10.1452763009009	.87	-.87	-1	-1	.304672
-4.84	-10.1345241893822	.872	-.872	-1	-1	.307692
-4.84	-10.1238336960706	.874	-.874	-1	-1	.30926
-4.84	-10.1132037735887	.876	-.876	-1	-1	.310526
-4.84	-10.102633403899	.878	-.878	-1	-1	.313772
-4.84	-10.0921215971661	.88	-.88	-1	-1	.314086
-4.84	-10.0816673906749	.882	-.882	-1	-1	.315765
-4.84	-10.0712698478014	.884	-.884	-1	-1	.31781
-4.84	-10.0609280570335	.886	-.886	-1	-1	.318273
-4.84	-10.0506411310382	.888	-.888	-1	-1	.320075
-4.84	-10.0404082057735	.89	-.89	-1	-1	.321972
-4.84	-10.0302284396408	.892	-.892	-1	-1	.321225
-4.84	-10.0201010126777	.894	-.894	-1	-1	.324497
-4.84	-10.0100251257868	.896	-.896	-1	-1	.327081
-4.84	-10	.898	-.898	-1	-1	.328897
-4.84	-9.99002487577582	.9	-.9	-1	-1	.331683
-4.84	-9.98009901232759	.902	-.902	-1	-1	.335137
-4.84	-9.97022168698156	.904	-.904	-1	-1	.337052
-4.84	-9.96039219456289	.906	-.906	-1	-1	.338289
-4.84	-9.95060984680808	.908	-.908	-1	-1	.339868
-4.84	-9.9408739718026	.91	-.91	-1	-1	.34254
-4.84	-9.93118391344228	.912	-.912	-1	-1	.344892
-4.84	-9.92153903091735	.914	-.914	-1	-1	.347367
-4.84	-9.91193869821789	.916	-.916	-1	-1	.348051
-4.84	-9.9023823036597	.918	-.918	-1	-1	.351366
-4.84	-9.89286924942945	.92	-.92	-1	-1	.354081
