SDD21_Lower	SDD11_Upper	SCD22_Upper	SCC11_Upper	SCD21-SDD21_Upper
NaN	NaN	-21.9922420480993	NaN	-10
NaN	NaN	-21.9844840961986	NaN	-10
NaN	NaN	-21.9767261442979	NaN	-10
NaN	NaN	-21.9689681923972	NaN	-10
-17.16	-16.0527864045	-21.9612102404965	NaN	-10
-17.16	-16.0101020514434	-21.9534522885958	NaN	-10
-17.16	-15.9708497377871	-21.9456943366951	NaN	-10
-17.16	-15.9343145750508	-21.9379363847944	NaN	-10
-17.16	-15.9	-21.9301784328937	NaN	-10
-17.16	-15.8675444679663	-21.922420480993	NaN	-10
-17.16	-15.8366750419289	-21.9146625290923	NaN	-10
-17.16	-15.8071796769724	-21.9069045771916	NaN	-10
-17.16	-15.7788897449072	-21.8991466252909	NaN	-10
-17.16	-15.7516685226452	-21.8913886733902	NaN	-10
-17.16	-15.7254033307585	-21.8836307214895	NaN	-10
-17.16	-15.7	-21.8758727695888	NaN	-10
-17.16	-15.6753788748765	-21.8681148176881	NaN	-10
-17.16	-15.6514718625761	-21.8603568657874	NaN	-10
-17.16	-15.6282202112919	-21.8525989138867	NaN	-10
-17.16	-15.6055728090001	-21.844840961986	-2	-10
-17.16	-15.5834848610088	-21.8370830100853	-2	-10
-17.16	-15.5619168480353	-21.8293250581846	-2	-10
-17.16	-15.5408336953375	-21.8215671062839	-2	-10
-17.16	-15.5202041028867	-21.8138091543832	-2	-10
-17.16	-15.5	-21.8060512024825	-2	-10
-17.16	-15.4801960972814	-21.7982932505818	-2	-10
-17.16	-15.4607695154587	-21.7905352986811	-2	-10
-17.16	-15.4416994755742	-21.7827773467804	-2	-10
-17.16	-15.4229670385731	-21.7750193948798	-2	-10
-17.16	-15.4045548849897	-21.7672614429791	-2	-10
-17.16	-15.386447127434	-21.7595034910784	-2	-10
-17.16	-15.3686291501015	-21.7517455391777	-2	-10
-17.16	-15.3510874706924	-21.743987587277	-2	-10
-17.16	-15.3338096210309	-21.7362296353763	-2	-10
-17.16	-15.3167840433801	-21.7284716834756	-2	-10
-17.16	-15.3	-21.7207137315749	-2	-10
-17.16	-15.2834474939404	-21.7129557796742	-2	-10
-17.16	-15.2671171994062	-21.7051978277735	-2	-10
-17.16	-15.2510004003203	-21.6974398758728	-2	-10
-17.16	-15.2350889359326	-21.6896819239721	-2	-10
-17.16	-15.2193751525134	-21.6819239720714	-2	-10
-17.16	-15.2038518603184	-21.6741660201707	-2	-10
-17.16	-15.1885122951396	-21.66640806827	-2	-10
-17.16	-15.1733500838578	-21.6586501163693	-2	-10
-17.16	-15.1583592135001	-21.6508921644686	-2	-10
-17.16	-15.1435340033749	-21.6431342125679	-2	-10
-17.16	-15.1288690799198	-21.6353762606672	-2	-10
-17.16	-15.1143593539449	-21.6276183087665	-2	-10
-17.16	-15.1	-21.6198603568658	-2	-10
-17.16	-15.0857864376269	-21.6121024049651	-2	-10
-17.16	-15.0717143142914	-21.6043444530644	-2	-10
-17.16	-15.0577794898144	-21.5965865011637	-2	-10
-17.16	-15.0439780221439	-21.588828549263	-2	-10
-17.16	-15.0303061543301	-21.5810705973623	-2	-10
-17.16	-15.0167603025809	-21.5733126454616	-2	-10
-17.16	-15.0033370452904	-21.5655546935609	-2	-10
-17.16	-14.9900331129459	-21.5577967416602	-2	-10
-17.16	-14.9768453788272	-21.5500387897595	-2	-10
-17.16	-14.9637708504263	-21.5422808378588	-2	-10
-17.16	-14.950806661517	-21.5345228859581	-2	-10
-17.16	-14.9379500648187	-21.5267649340574	-2	-10
-17.16	-14.9251984251976	-21.5190069821567	-2	-10
-17.16	-14.9125492133612	-21.511249030256	-2	-10
-17.16	-14.9	-21.5034910783553	-2	-10
-17.16	-14.8875484503403	-21.4957331264546	-2	-10
-17.16	-14.8751923190728	-21.4879751745539	-2	-10
-17.16	-14.8629294456255	-21.4802172226532	-2	-10
-17.16	-14.8507577497529	-21.4724592707525	-2	-10
-17.16	-14.8386752274164	-21.4647013188518	-2	-10
-17.16	-14.8266799469318	-21.4569433669511	-2	-10
-17.16	-14.8147700453647	-21.4491854150504	-2	-10
-17.16	-14.8029437251523	-21.4414274631497	-2	-10
-17.16	-14.7911992509365	-21.433669511249	-2	-10
-17.16	-14.7795349465915	-21.4259115593483	-2	-10
-17.16	-14.7679491924311	-21.4181536074476	-2	-10
-17.16	-14.7564404225837	-21.4103956555469	-2	-10
-17.16	-14.7450071225216	-21.4026377036462	-2	-10
-17.16	-14.7336478267344	-21.3948797517455	-2	-10
-17.16	-14.7223611165369	-21.3871217998448	-2	-10
-17.16	-14.7111456180002	-21.3793638479441	-2	-10
-17.16	-14.7	-21.3716058960434	-2	-10
-17.16	-14.6889229723725	-21.3638479441427	-2	-10
-17.16	-14.6779132841711	-21.356089992242	-2	-10
-17.16	-14.6669697220177	-21.3483320403414	-2	-10
-17.16	-14.6560911085414	-21.3405740884407	-2	-10
-17.16	-14.6452763009009	-21.33281613654	-2	-10
-17.16	-14.6345241893822	-21.3250581846393	-2	-10
-17.16	-14.6238336960706	-21.3173002327386	-2	-10
-17.16	-14.6132037735887	-21.3095422808379	-2	-10
-17.16	-14.602633403899	-21.3017843289372	-2	-10
-17.16	-14.5921215971661	-21.2940263770365	-2	-10
-17.16	-14.5816673906749	-21.2862684251358	-2	-10
-17.16	-14.5712698478014	-21.2785104732351	-2	-10
-17.16	-14.5609280570335	-21.2707525213344	-2	-10
-17.16	-14.5506411310382	-21.2629945694337	-2	-10
-17.16	-14.5404082057735	-21.255236617533	-2	-10
-17.16	-14.5302284396408	-21.2474786656323	-2	-10
-17.16	-14.5201010126777	-21.2397207137316	-2	-10
-17.16	-14.5100251257868	-21.2319627618309	-2	-10
-17.16	-14.5	-21.2242048099302	-2	-10
-17.16	-14.4900248757758	-21.2164468580295	-2	-10
-17.16	-14.4800990123276	-21.2086889061288	-2	-10
-17.16	-14.4702216869816	-21.2009309542281	-2	-10
-17.16	-14.4603921945629	-21.1931730023274	-2	-10
-17.16	-14.4506098468081	-21.1854150504267	-2	-10
-17.16	-14.4408739718026	-21.177657098526	-2	-10
-17.16	-14.4311839134423	-21.1698991466253	-2	-10
-17.16	-14.4215390309173	-21.1621411947246	-2	-10
-17.16	-14.4119386982179	-21.1543832428239	-2	-10
-17.16	-14.4023823036597	-21.1466252909232	-2	-10
-17.16	-14.3928692494295	-21.1388673390225	-2	-10
-17.16	-14.3833989511483	-21.1311093871218	-2	-10
-17.16	-14.3739708374531	-21.1233514352211	-2	-10
-17.16	-14.3645843495937	-21.1155934833204	-2	-10
-17.16	-14.3552389410473	-21.1078355314197	-2	-10
-17.16	-14.3459340771462	-21.100077579519	-2	-10
-17.16	-14.3366692347216	-21.0923196276183	-2	-10
-17.16	-14.32744390176	-21.0845616757176	-2	-10
-17.16	-14.3182575770729	-21.0768037238169	-2	-10
-17.16	-14.3091097699793	-21.0690457719162	-2	-10
-17.16	-14.3	-21.0612878200155	-2	-10
-17.16	-14.2909277965625	-21.0535298681148	-2	-10
-17.16	-14.2818926987181	-21.0457719162141	-2	-10
-17.16	-14.272894254868	-21.0380139643134	-2	-10
-17.16	-14.2639320225002	-21.0302560124127	-2	-10
-17.16	-14.2550055679356	-21.022498060512	-2	-10
-17.16	-14.2461144660831	-21.0147401086113	-2	-10
-17.16	-14.237258300203	-21.0069821567106	-2	-10
-17.16	-14.2284366616799	-20.9992242048099	-2	-10
-17.16	-14.2196491498017	-20.9914662529092	-2	-10
-17.16	-14.2108953715481	-20.9837083010085	-2	-10
-17.16	-14.2021749413848	-20.9759503491078	-2	-10
-17.16	-14.1934874810658	-20.9681923972071	-2	-10
-17.16	-14.184832619442	-20.9604344453064	-2	-10
-17.16	-14.1762099922755	-20.9526764934057	-2	-10
-17.16	-14.1676192420619	-20.944918541505	-2	-10
-17.16	-14.1590600178561	-20.9371605896043	-2	-10
-17.16	-14.1505319751059	-20.9294026377036	-2	-10
-17.16	-14.1420347754897	-20.9216446858029	-2	-10
-17.16	-14.1335680867602	-20.9138867339022	-2	-10
-17.16	-14.1251315825924	-20.9061287820016	-2	-10
-17.16	-14.1167249424374	-20.8983708301009	-2	-10
-17.16	-14.1083478513797	-20.8906128782002	-2	-10
-17.16	-14.1	-20.8828549262995	-2	-10
-17.16	-14.0916810842415	-20.8750969743988	-2	-10
-17.16	-14.0833908052811	-20.8673390224981	-2	-10
-17.16	-14.0751288694036	-20.8595810705974	-2	-10
-17.16	-14.0668949878807	-20.8518231186967	-2	-10
-17.16	-14.0586888768533	-20.844065166796	-2	-10
-17.16	-14.0505102572168	-20.8363072148953	-2	-10
-17.16	-14.0423588545111	-20.8285492629946	-2	-10
-17.16	-14.0342343988124	-20.8207913110939	-2	-10
-17.16	-14.0261366246294	-20.8130333591932	-2	-10
-17.16	-14.0180652708018	-20.8052754072925	-2	-10
-17.16	-14.0100200804023	-20.7975174553918	-2	-10
-17.16	-14.0020008006406	-20.7897595034911	-2	-10
-17.16	-13.9940071827717	-20.7820015515904	-2	-10
-17.16	-13.9860389820047	-20.7742435996897	-2	-10
-17.16	-13.9780959574163	-20.766485647789	-2	-10
-17.16	-13.9701778718653	-20.7587276958883	-2	-10
-17.16	-13.9622844919101	-20.7509697439876	-2	-10
-17.16	-13.9544155877284	-20.7432117920869	-2	-10
-17.16	-13.9465709330393	-20.7354538401862	-2	-10
-17.16	-13.9387503050269	-20.7276958882855	-2	-10
-17.16	-13.930953484267	-20.7199379363848	-2	-10
-17.16	-13.923180254655	-20.7121799844841	-2	-10
-17.16	-13.915430403336	-20.7044220325834	-2	-10
-17.16	-13.9077037206369	-20.6966640806827	-2	-10
-17.16	-13.9	-20.688906128782	-2	-10
-17.16	-13.8923190379189	-20.6811481768813	-2	-10
-17.16	-13.8846606338756	-20.6733902249806	-2	-10
-17.16	-13.8770245902792	-20.6656322730799	-2	-10
-17.16	-13.8694107124068	-20.6578743211792	-2	-10
-17.16	-13.8618188083454	-20.6501163692785	-2	-10
-17.16	-13.8542486889354	-20.6423584173778	-2	-10
-17.16	-13.8467001677157	-20.6346004654771	-2	-10
-17.16	-13.83917306087	-20.6268425135764	-2	-10
-17.16	-13.8316671871747	-20.6190845616757	-2	-10
-17.16	-13.8241823679481	-20.611326609775	-2	-10
-17.16	-13.8167184270003	-20.6035686578743	-2	-10
-17.16	-13.8092751905853	-20.5958107059736	-2	-10
-17.16	-13.8018524873536	-20.5880527540729	-2	-10
-17.16	-13.7944501483063	-20.5802948021722	-2	-10
-17.16	-13.7870680067499	-20.5725368502715	-2	-10
-17.16	-13.7797058982529	-20.5647788983708	-2	-10
-17.16	-13.7723636606028	-20.5570209464701	-2	-10
-17.16	-13.7650411337645	-20.5492629945694	-2	-10
-17.16	-13.7577381598396	-20.5415050426687	-2	-10
-17.16	-13.7504545830265	-20.533747090768	-2	-10
-17.16	-13.743190249582	-20.5259891388673	-2	-10
-17.16	-13.7359450077829	-20.5182311869666	-2	-10
-17.16	-13.7287187078898	-20.5104732350659	-2	-10
-17.16	-13.72151120211	-20.5027152831652	-2	-10
-17.16	-13.7143223445632	-20.4949573312645	-2	-10
-17.16	-13.7071519912462	-20.4871993793638	-2	-10
-17.16	-13.7	-20.4794414274632	-2	-10
-17.16	-13.6928662304764	-20.4716834755625	-2	-10
-17.16	-13.6857505441059	-20.4639255236618	-2	-10
-17.16	-13.6786528040668	-20.4561675717611	-2	-10
-17.16	-13.6715728752538	-20.4484096198604	-2	-10
-17.16	-13.6645106242484	-20.4406516679597	-2	-10
-17.16	-13.6574659192896	-20.432893716059	-2	-10
-17.16	-13.650438630245	-20.4251357641583	-2	-10
-17.16	-13.6434286285829	-20.4173778122576	-2	-10
-17.16	-13.6364357873447	-20.4096198603569	-2	-10
-17.16	-13.6294599811185	-20.4018619084562	-2	-10
-17.16	-13.6225010860124	-20.3941039565555	-2	-10
-17.16	-13.6155589796288	-20.3863460046548	-2	-10
-17.16	-13.6086335410398	-20.3785880527541	-2	-10
-17.16	-13.6017246507621	-20.3708301008534	-2	-10
