SDD21_Lower	ILD_Upper	ILD_Lower	SDD11_Upper
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-17.04	.718	-.718	-11.5527864045
-17.04	.72	-.72	-11.5101020514434
-17.04	.722	-.722	-11.4708497377871
-17.04	.724	-.724	-11.4343145750508
-17.04	.726	-.726	-11.4
-17.04	.728	-.728	-11.3675444679663
-17.04	.73	-.73	-11.3366750419289
-17.04	.732	-.732	-11.3071796769724
-17.04	.734	-.734	-11.2788897449072
-17.04	.736	-.736	-11.2516685226452
-17.04	.738	-.738	-11.2254033307585
-17.04	.74	-.74	-11.2
-17.04	.742	-.742	-11.1753788748765
-17.04	.744	-.744	-11.1514718625761
-17.04	.746	-.746	-11.1282202112919
-17.04	.748	-.748	-11.1055728090001
-17.04	.75	-.75	-11.0834848610088
-17.04	.752	-.752	-11.0619168480353
-17.04	.754	-.754	-11.0408336953375
-17.04	.756	-.756	-11.0202041028867
-17.04	.758	-.758	-11
-17.04	.76	-.76	-10.9801960972814
-17.04	.762	-.762	-10.9607695154587
-17.04	.764	-.764	-10.9416994755742
-17.04	.766	-.766	-10.9229670385731
-17.04	.768	-.768	-10.9045548849897
-17.04	.77	-.77	-10.886447127434
-17.04	.772	-.772	-10.8686291501015
-17.04	.774	-.774	-10.8510874706924
-17.04	.776	-.776	-10.8338096210309
-17.04	.778	-.778	-10.8167840433801
-17.04	.78	-.78	-10.8
-17.04	.782	-.782	-10.7834474939404
-17.04	.784	-.784	-10.7671171994062
-17.04	.786	-.786	-10.7510004003203
-17.04	.788	-.788	-10.7350889359326
-17.04	.79	-.79	-10.7193751525134
-17.04	.792	-.792	-10.7038518603184
-17.04	.794	-.794	-10.6885122951396
-17.04	.796	-.796	-10.6733500838578
-17.04	.798	-.798	-10.6583592135001
-17.04	.8	-.8	-10.6435340033749
-17.04	.802	-.802	-10.6288690799198
-17.04	.804	-.804	-10.6143593539449
-17.04	.806	-.806	-10.6
-17.04	.808	-.808	-10.5857864376269
-17.04	.81	-.81	-10.5717143142914
-17.04	.812	-.812	-10.5577794898144
-17.04	.814	-.814	-10.5439780221439
-17.04	.816	-.816	-10.5303061543301
-17.04	.818	-.818	-10.5167603025809
-17.04	.82	-.82	-10.5033370452904
-17.04	.822	-.822	-10.4900331129459
-17.04	.824	-.824	-10.4768453788272
-17.04	.826	-.826	-10.4637708504263
-17.04	.828	-.828	-10.450806661517
-17.04	.83	-.83	-10.4379500648187
-17.04	.832	-.832	-10.4251984251976
-17.04	.834	-.834	-10.4125492133612
-17.04	.836	-.836	-10.4
-17.04	.838	-.838	-10.3875484503403
-17.04	.84	-.84	-10.3751923190728
-17.04	.842	-.842	-10.3629294456255
-17.04	.844	-.844	-10.3507577497529
-17.04	.846	-.846	-10.3386752274164
-17.04	.848	-.848	-10.3266799469318
-17.04	.85	-.85	-10.3147700453647
-17.04	.852	-.852	-10.3029437251523
-17.04	.854	-.854	-10.2911992509365
-17.04	.856	-.856	-10.2795349465915
